当落,候補者氏名,年齢,性別,党派,元現新,衆参当選回数,参議院当選回数,衆議院当選回数,議席数,争点1位,争点2位,争点3位,政府規模,出生地外立候補フラグ,秘書経験フラグ,地方議会経験フラグ,職業(分類)
当,高橋 はるみ,71,1,自由民主党,現,1,1,0,3,年金・医療・介護,景気・雇用,子育て支援,2,1,1,1,政治家・政党関係
落,田　中　　よしひと,53,0,参政党,新,0,0,0,3,消費税,外交・安全保障,農林水産業,2,0,1,0,自営業
落,小野寺 まさる,61,0,日本保守党,新,0,0,0,3,消費税,エネルギー・環境,その他,1,0,0,0,政治家・政党関係
落,後　藤　　朋　子,55,1,ＮＨＫ党,新,0,0,0,3,その他,治安,消費税,3,1,1,1,会社員・社員
落,宮　内　　しおり,33,1,日本共産党,新,0,0,0,3,消費税,働き方,外交・安全保障,5,0,1,1,政治家・政党関係
当,岩　本　　剛　人,60,0,自由民主党,現,1,0,0,3,景気・雇用,地方活性化・人口減,農林水産業,3,0,1,0,政治家・政党関係
落,稲　原　　むねよし,36,0,チームみらい,新,0,0,0,3,エネルギー・環境,年金・医療・介護,農林水産業,1,1,1,1,会社員・社員
落,鈴　木　　まさき,33,0,国民民主党,新,0,0,0,3,景気・雇用,地方活性化・人口減,年金・医療・介護,2,1,1,1,企業経営者・役員
当,勝　部　　けんじ,65,0,立憲民主党,現,1,1,0,3,消費税,年金・医療・介護,教育,5,0,1,0,政治家・政党関係
落,オカダ　　美輪子,45,1,日本維新の会,新,0,0,0,3,子育て支援,教育,政治とカネ,2,0,1,1,企業経営者・役員
落,高　杉　　やすじ,56,0,日本改革党,新,0,0,0,3,年金・医療・介護,消費税,治安,1,0,1,1,会社員・社員
落,のむらパターソン　　和　孝,40,0,れいわ新選組,新,0,0,0,3,消費税,財政,エネルギー・環境,3,0,1,0,企業経営者・役員
落,ローレンス　　綾　子,55,1,参政党,新,0,0,0,1,農林水産業,財政,教育,2,1,1,1,政治家・政党関係
落,石　川　　光次郎,58,0,自由民主党,新,0,0,0,1,景気・雇用,外交・安全保障,地方活性化・人口減,2,0,0,0,政治家・政党関係
落,中　村　　高　志,65,0,無所属,新,0,0,0,1,,,,,1,1,1,無職
