feature,coefficient
党派_国民民主党,1.1727592540893244
都道府県_東京都(7),0.9964540151520154
争点1位_景気・雇用,0.9481137686979214
職業(分類)_企業経営者・役員,0.9381688436627353
争点3位_治安,0.8928498611276173
争点2位_地方活性化・人口減,0.8482347239103237
争点2位_農林水産業,0.8482006618701889
党派_自由民主党,0.8384167172757472
争点2位_年金・医療・介護,0.717729891000514
都道府県_神奈川県(4),0.7126032989941781
政府規模_2.0,0.6755651193140281
争点3位_外交・安全保障,0.6251982317104714
都道府県_岡山県(1),0.597023777273058
争点1位_年金・医療・介護,0.5683061774590188
都道府県_愛知県(4),0.5280001729262604
争点3位_子育て支援,0.5143989971848262
争点2位_子育て支援,0.47351450647600357
党派_日本維新の会,0.47130472412061564
地方議会経験フラグ_0.0,0.47019038795270923
都道府県_京都府(2),0.45437684945152435
争点1位_財政,0.4533878160445473
職業(分類)_教育・研究,0.4517910218414163
争点3位_農林水産業,0.39350966301968127
都道府県_青森県(1),0.3754959063175531
党派_参政党,0.3672803447867287
秘書経験フラグ_1.0,0.3330412942647082
都道府県_和歌山県(1),0.3200491927963053
都道府県_茨城県(2),0.317824748947644
党派_立憲民主党,0.3140688441285802
職業(分類)_建設・施工業,0.3025044502484625
争点2位_教育,0.3011881466107492
都道府県_広島県(2),0.2992486797016865
争点3位_その他,0.28961492212868356
職業(分類)_政治家・政党関係,0.2789652201907221
性別_1,0.27044293366025135
都道府県_鳥取・島根県(1),0.2603154274707035
都道府県_大阪府(4),0.2572008529105887
都道府県_三重県(1),0.2549702967419355
都道府県_香川県(1),0.25184327253708777
職業(分類)_会社員・社員,0.20121195326746016
政府規模_1.0,0.18983627252367039
都道府県_福岡県(3),0.18943047520723666
職業(分類)_ITエンジニア,0.18576251931491158
都道府県_富山県(1),0.1732250927260712
都道府県_埼玉県(4),0.1637968598108065
争点3位_政治とカネ,0.16325899262900792
出生地外立候補フラグ_0.0,0.16072162557985323
争点3位_地方活性化・人口減,0.15838030432290817
争点3位_教育,0.1467867085235159
争点1位_消費税,0.10740093264230798
出生地外立候補フラグ_1.0,0.08987036761705029
争点1位_地方活性化・人口減,0.06624888630839187
都道府県_千葉県(3),0.04905825126887232
都道府県_岐阜県(1),0.004967052258084861
