feature,importance
年齢,2858
政府規模_2.0,464
争点1位_景気・雇用,448
職業(分類)_企業経営者・役員,371
出生地外立候補フラグ_0.0,342
地方議会経験フラグ_0.0,338
職業(分類)_政治家・政党関係,335
党派_参政党,312
争点1位_消費税,253
性別_0,253
争点3位_農林水産業,242
争点2位_年金・医療・介護,196
出生地外立候補フラグ_1.0,192
政府規模_3.0,175
都道府県_東京都(7),164
争点2位_子育て支援,156
性別_1,113
政府規模_1.0,97
争点3位_子育て支援,93
出生地外立候補フラグ_nan,49
地方議会経験フラグ_1.0,27
党派_ＮＨＫ党,6
衆議院当選回数,0
衆参すべての当選回数,0
参議院当選回数,0
党派_チームみらい,0
党派_世界平和党,0
党派_再生の道,0
党派_れいわ新選組,0
党派_救世主作る党,0
党派_新党くにもり,0
党派_新党やまと,0
党派_日本の家庭を守る会,0
党派_日本保守党,0
党派_日本共産党,0
党派_日本改革党,0
党派_みんなでつくる党,0
都道府県_千葉県(3),0
都道府県_北海道(3),0
都道府県_兵庫県(3),0
都道府県_佐賀県(1),0
都道府県_京都府(2),0
都道府県_三重県(1),0
党派_自由民主党,0
党派_自分のことしか考えていない党,0
党派_無所属,0
党派_立憲民主党,0
党派_社会民主党,0
党派_無所属連合,0
党派_核融合党,0
党派_減税日本,0
党派_日本誠真会,0
党派_日本維新の会,0
党派_国民民主党,0
都道府県_愛知県(4),0
都道府県_新潟県(1),0
都道府県_栃木県(1),0
都道府県_愛媛県(1),0
都道府県_和歌山県(1),0
都道府県_大阪府(4),0
都道府県_埼玉県(4),0
都道府県_山形県(1),0
都道府県_山梨県(1),0
都道府県_岐阜県(1),0
都道府県_岡山県(1),0
都道府県_宮城県(1),0
都道府県_宮崎県(1),0
都道府県_富山県(1),0
都道府県_奈良県(1),0
都道府県_長野県(1),0
都道府県_長崎県(1),0
都道府県_茨城県(2),0
都道府県_群馬県(1),0
都道府県_青森県(1),0
都道府県_静岡県(2),0
都道府県_香川県(1),0
都道府県_鳥取・島根県(1),0
争点1位_働き方,0
争点1位_地方活性化・人口減,0
争点1位_外交・安全保障,0
争点1位_子育て支援,0
都道府県_鹿児島県(1),0
争点1位_nan,0
争点1位_その他,0
争点1位_エネルギー・環境,0
争点1位_憲法,0
争点1位_情報公開,0
争点1位_性的少数者に関する政策,0
争点1位_年金・医療・介護,0
都道府県_沖縄県(1),0
都道府県_滋賀県(1),0
都道府県_熊本県(1),0
都道府県_石川県(1),0
都道府県_神奈川県(4),0
都道府県_福井県(1),0
都道府県_福岡県(3),0
都道府県_福島県(1),0
都道府県_岩手県(1),0
都道府県_広島県(2),0
都道府県_徳島・高知県(1),0
都道府県_山口県(1),0
争点2位_情報公開,0
争点2位_外交・安全保障,0
争点2位_働き方,0
争点2位_地方活性化・人口減,0
争点2位_エネルギー・環境,0
争点2位_その他,0
争点1位_農林水産業,0
争点2位_nan,0
争点1位_政治とカネ,0
争点1位_教育,0
争点1位_財政,0
争点1位_治安,0
争点2位_憲法,0
争点2位_政治とカネ,0
争点2位_教育,0
争点2位_景気・雇用,0
争点3位_外交・安全保障,0
争点3位_地方活性化・人口減,0
争点3位_働き方,0
争点3位_エネルギー・環境,0
争点3位_政治とカネ,0
争点3位_年金・医療・介護,0
争点3位_情報公開,0
争点3位_憲法,0
争点2位_選択的夫婦別姓,0
争点2位_防災・復興,0
争点3位_nan,0
争点3位_その他,0
争点2位_治安,0
争点2位_消費税,0
争点2位_財政,0
争点2位_農林水産業,0
争点3位_選挙制度,0
争点3位_防災・復興,0
争点3位_財政,0
争点3位_選択的夫婦別姓,0
争点3位_消費税,0
争点3位_教育,0
争点3位_景気・雇用,0
争点3位_治安,0
秘書経験フラグ_0.0,0
政府規模_4.0,0
秘書経験フラグ_nan,0
秘書経験フラグ_1.0,0
地方議会経験フラグ_nan,0
職業(分類)_ITエンジニア,0
政府規模_nan,0
政府規模_5.0,0
職業(分類)_マスコミュニケーション,0
職業(分類)_その他,0
職業(分類)_会社員・社員,0
職業(分類)_主婦,0
職業(分類)_医療・福祉,0
職業(分類)_小売業,0
職業(分類)_建設・施工業,0
職業(分類)_教育・研究,0
職業(分類)_法律・士業,0
職業(分類)_清掃業,0
職業(分類)_無職,0
職業(分類)_美容業,0
職業(分類)_自営業,0
職業(分類)_芸術・エンタメ・スポーツ,0
職業(分類)_農林業,0
職業(分類)_金融業,0
